"sensorId","obsCount","outlierCount","rate","shape","ppv","sensitivity","f1","AIC","BIC","lglk"
455,63743,32,528.270558360424,68.1320933295302,0.0585009140767824,1,0.110535405872193,-339857.105385844,-339838.980156538,169930.552692922
464,44394,24,554.235769619334,65.543912375004,0.119402985074627,1,0.213333333333333,-246792.396271289,-246774.99455208,123398.198135644
467,135647,68,536.214136455081,96.8734490550212,0.0644549763033175,1,0.121104185218166,-692117.188296217,-692097.552673813,346060.594148109
468,152121,78,576.206088295487,44.2970897481928,0.0617577197149644,1,0.116331096196868,-908819.058470198,-908799.193607126,454411.529235099
471,82520,42,564.486308852554,66.7825586390768,0.0848484848484849,1,0.156424581005587,-241424.480150624,-241405.838558689,120714.240075312
474,229458,114,301.133549506763,33.9455373128668,0.0821325648414986,1,0.151797603195739,-1145401.88101328,-1145381.19406271,572702.940506641
477,70069,18,14.5986822860151,4.04092363695587,0.192307692307692,0.277777777777778,0.227272727272727,Inf,Inf,-Inf
478,354809,177,615.992882659267,109.314961678571,0.127982646420824,1,0.226923076923077,-1155857.34125397,-1155835.78258418,577930.670626983
480,27106,14,671.445466140996,76.9832757007253,0.333333333333333,1,0.5,-157332.300281132,-157315.885260363,78668.1501405662
485,46877,24,624.415603570543,60.4218422466527,0.135593220338983,1,0.238805970149254,-267983.611429905,-267966.100865047,133993.805714953
486,404227,204,599.222429419306,88.2426474608307,0.120212139068945,1,0.21462388216728,-1951180.2312671,-1951158.41180334,975592.115633548
493,29861,16,592.284117139605,77.4283154187137,0.125,1,0.222222222222222,-164595.277079778,-164578.668462657,82299.6385398888
494,35701,18,568.192253464746,70.0700876382121,0.0759493670886076,1,0.141176470588235,-193240.110131376,-193223.144263419,96622.0550656878
495,134628,68,11.0023151136752,2.94930342211563,1,0.0294117647058824,0.0571428571428571,-141184.502585265,-141164.882043869,70594.2512926326
499,401136,199,314.191044302051,24.7761284740655,0.020513349139264,1,0.0402020202020202,-1958194.21099916,-1958172.40688756,979099.105499582
502,61399,31,336.849473653365,19.6661633627164,0.0191831683168317,1,0.0376442015786278,-345697.349810015,-345679.29951236,172850.674905008
507,179553,90,166.078312075127,25.9103720169324,0.108958837772397,1,0.196506550218341,-723051.636757629,-723031.440306213,361527.818378814
512,168353,65,167.492563406248,16.0706855703727,0.26530612244898,1,0.419354838709677,Inf,Inf,-Inf
519,305459,154,600.771391864255,73.3523418364087,0.456973293768546,1,0.627291242362525,-1040430.67508423,-1040409.41594255,520217.337542117
521,118217,60,401.034396983926,35.2852240175818,0.0252951096121417,1,0.0493421052631579,-635235.209965912,-635215.849411516,317619.604982956
523,423192,156,166.299624007116,16.2891132616441,0.149282296650718,1,0.259783513738551,-1948700.75802283,-1948678.84686032,974352.379011414
527,14656,8,387.28085727641,52.0166672707782,0.033195020746888,1,0.0642570281124498,-71574.7802409975,-71559.5950308237,35789.3901204988
531,122539,31,66.0428569178897,3.85082811194614,0.000179694519317161,0.032258064516129,0.000357398141529664,Inf,Inf,-Inf
532,39062,20,184.45460640955,13.4328489536336,0.131578947368421,1,0.232558139534884,-191056.32787833,-191039.182067518,95530.1639391652
533,198803,98,578.019157499857,53.495790928548,0.0743550834597876,1,0.138418079096045,-1039612.00403642,-1039591.6038971,519808.002018212
535,129282,66,369.990524642957,43.0562510912447,0.0335707019328586,1,0.0649606299212598,-664824.29161514,-664804.752112453,332414.14580757
537,206148,98,425.451140594562,42.2271199858619,0.0459662288930582,1,0.0878923766816143,-907340.812502229,-907320.339802956,453672.406251114
541,10065,6,573.672527634774,72.7239442382441,0.103448275862069,1,0.1875,-54861.2848261105,-54846.8511874344,27432.6424130553
543,185086,93,360.910772234753,54.4423305822915,0.0966735966735967,1,0.176303317535545,-913142.35993366,-913122.102781938,456573.17996683
563,17840,10,190.989297673603,23.5361428238179,0.214285714285714,0.9,0.346153846153846,-80194.7167945407,-80179.1383977285,40099.3583972704
564,19279,10,214.996801264595,34.9628550544419,0.196078431372549,1,0.327868852459016,-83468.7422295107,-83453.0086861115,41736.3711147553
571,89775,35,66.6813062428161,8.21519246897729,0.0476190476190476,0.857142857142857,0.0902255639097744,-333494.718106256,-333475.907982618,166749.359053128
572,20485,6,35.3360957092798,4.35991747089346,0.0405405405405405,1,0.0779220779220779,Inf,Inf,-Inf
574,15366,8,116.435690256885,19.4272934919364,0.172413793103448,0.625,0.27027027027027,-56763.3058297164,-56748.0260046055,28383.6529148582
579,58928,30,70.3663151832487,10.9675708675425,0.122448979591837,1,0.218181818181818,-200024.259985417,-200006.29184214,100014.129992709
580,203369,100,114.753203835787,14.1917405474651,0.222841225626741,0.8,0.348583877995643,Inf,Inf,-Inf
585,171044,69,93.8273779893316,12.3439265666668,0.218354430379747,1,0.358441558441558,Inf,Inf,-Inf
588,46060,23,110.455681382557,13.5774859533546,0.145631067961165,0.652173913043478,0.238095238095238,-181940.11624858,-181922.640848233,90972.0581242899
599,354756,173,0.422373442647563,0.0501498912971709,0.776978417266187,0.624277456647399,0.692307692307692,-Inf,-Inf,Inf
603,81370,21,4.97033629829624,0.66986368181771,0.0309734513274336,1,0.0600858369098712,-Inf,-Inf,Inf
605,72189,18,114.535552196103,14.7916120125167,0.141025641025641,0.611111111111111,0.229166666666667,-284476.647350649,-284458.273264732,142240.323675325
609,327202,155,115.696230502711,14.7119512910396,0.208695652173913,0.619354838709677,0.31219512195122,Inf,Inf,-Inf
615,750567,280,109.573028336316,12.3648447397377,0.132238547968885,0.546428571428571,0.21294363256785,Inf,Inf,-Inf
617,647149,304,114.190323142528,16.22472714611,0.227047146401985,0.601973684210526,0.32972972972973,-2486114.3129431,-2486091.55227942,1243059.15647155
619,667597,323,115.672778011874,11.7402053538027,0.0994243851386709,0.588235294117647,0.170098478066249,Inf,Inf,-Inf
621,365963,137,112.812821212713,11.1202254452333,0.0568540745420088,0.656934306569343,0.104651162790698,Inf,Inf,-Inf
625,189931,62,96.5462112105221,8.58734690216362,0.0430247718383312,0.532258064516129,0.0796139927623643,Inf,Inf,-Inf
627,532998,256,119.094530293217,14.97427971834,0.223776223776224,0.625,0.329557157569516,Inf,Inf,-Inf
632,272419,126,114.519582861253,11.1602825273279,0.0720371804802479,0.738095238095238,0.131263232180663,Inf,Inf,-Inf
633,73959,37,117.793431511934,14.9284261079289,0.152866242038217,0.648648648648649,0.247422680412371,Inf,Inf,-Inf
639,652924,309,113.015627067246,12.7968259439971,0.211538461538462,0.605177993527508,0.31349538977368,Inf,Inf,-Inf
645,406435,202,101.498932995527,15.4705995673386,0.1675,0.663366336633663,0.267465069860279,Inf,Inf,-Inf
646,720576,350,114.649743726684,10.8832144923522,0.188644688644689,0.588571428571429,0.285714285714286,Inf,Inf,-Inf
